,Unnamed: 0,Date,Adj Close
0,0,2019-01-28,2643.85009765625
1,1,2019-01-29,2640.0
2,2,2019-01-30,2681.050048828125
3,3,2019-01-31,2704.10009765625
4,4,2019-02-01,2706.530029296875
5,5,2019-02-04,2724.8701171875
6,6,2019-02-05,2737.699951171875
7,7,2019-02-06,2731.610107421875
8,8,2019-02-07,2706.050048828125
9,9,2019-02-08,2707.8798828125
10,10,2019-02-11,2709.800048828125
11,11,2019-02-12,2744.72998046875
12,12,2019-02-13,2753.030029296875
13,13,2019-02-14,2745.72998046875
14,14,2019-02-15,2775.60009765625
15,15,2019-02-19,2779.760009765625
16,16,2019-02-20,2784.699951171875
17,17,2019-02-21,2774.8798828125
18,18,2019-02-22,2792.669921875
19,19,2019-02-25,2796.110107421875
20,20,2019-02-26,2793.89990234375
21,21,2019-02-27,2792.3798828125
22,22,2019-02-28,2784.489990234375
23,23,2019-03-01,2803.68994140625
24,24,2019-03-04,2792.81005859375
25,25,2019-03-05,2789.64990234375
26,26,2019-03-06,2771.449951171875
27,27,2019-03-07,2748.929931640625
28,28,2019-03-08,2743.070068359375
29,29,2019-03-11,2783.300048828125
30,30,2019-03-12,2791.52001953125
31,31,2019-03-13,2810.919921875
32,32,2019-03-14,2808.47998046875
33,33,2019-03-15,2822.47998046875
34,34,2019-03-18,2832.93994140625
35,35,2019-03-19,2832.570068359375
36,36,2019-03-20,2824.22998046875
37,37,2019-03-21,2854.8798828125
38,38,2019-03-22,2800.7099609375
39,39,2019-03-25,2798.360107421875
40,40,2019-03-26,2818.4599609375
41,41,2019-03-27,2805.3701171875
42,42,2019-03-28,2815.43994140625
43,43,2019-03-29,2834.39990234375
44,44,2019-04-01,2867.18994140625
45,45,2019-04-02,2867.239990234375
46,46,2019-04-03,2873.39990234375
47,47,2019-04-04,2879.389892578125
48,48,2019-04-05,2892.739990234375
49,49,2019-04-08,2895.77001953125
50,50,2019-04-09,2878.199951171875
51,51,2019-04-10,2888.2099609375
52,52,2019-04-11,2888.320068359375
53,53,2019-04-12,2907.409912109375
54,54,2019-04-15,2905.580078125
55,55,2019-04-16,2907.06005859375
56,56,2019-04-17,2900.449951171875
57,57,2019-04-18,2905.030029296875
58,58,2019-04-22,2907.969970703125
59,59,2019-04-23,2933.679931640625
60,60,2019-04-24,2927.25
61,61,2019-04-25,2926.169921875
62,62,2019-04-26,2939.8798828125
63,63,2019-04-29,2943.030029296875
64,64,2019-04-30,2945.830078125
65,65,2019-05-01,2923.72998046875
66,66,2019-05-02,2917.52001953125
67,67,2019-05-03,2945.639892578125
68,68,2019-05-06,2932.469970703125
69,69,2019-05-07,2884.050048828125
70,70,2019-05-08,2879.419921875
71,71,2019-05-09,2870.719970703125
72,72,2019-05-10,2881.39990234375
73,73,2019-05-13,2811.8701171875
74,74,2019-05-14,2834.409912109375
75,75,2019-05-15,2850.9599609375
76,76,2019-05-16,2876.320068359375
77,77,2019-05-17,2859.530029296875
78,78,2019-05-20,2840.22998046875
79,79,2019-05-21,2864.360107421875
80,80,2019-05-22,2856.27001953125
81,81,2019-05-23,2822.239990234375
82,82,2019-05-24,2826.06005859375
83,83,2019-05-28,2802.389892578125
84,84,2019-05-29,2783.02001953125
85,85,2019-05-30,2788.860107421875
86,86,2019-05-31,2752.06005859375
87,87,2019-06-03,2744.449951171875
88,88,2019-06-04,2803.27001953125
89,89,2019-06-05,2826.14990234375
90,90,2019-06-06,2843.489990234375
91,91,2019-06-07,2873.340087890625
92,92,2019-06-10,2886.72998046875
93,93,2019-06-11,2885.719970703125
94,94,2019-06-12,2879.840087890625
95,95,2019-06-13,2891.639892578125
96,96,2019-06-14,2886.97998046875
97,97,2019-06-17,2889.669921875
98,98,2019-06-18,2917.75
99,99,2019-06-19,2926.4599609375
100,100,2019-06-20,2954.179931640625
101,101,2019-06-21,2950.4599609375
102,102,2019-06-24,2945.35009765625
103,103,2019-06-25,2917.3798828125
104,104,2019-06-26,2913.780029296875
105,105,2019-06-27,2924.919921875
106,106,2019-06-28,2941.760009765625
107,107,2019-07-01,2964.330078125
108,108,2019-07-02,2973.010009765625
109,109,2019-07-03,2995.820068359375
110,110,2019-07-05,2990.409912109375
111,111,2019-07-08,2975.949951171875
112,112,2019-07-09,2979.6298828125
113,113,2019-07-10,2993.070068359375
114,114,2019-07-11,2999.909912109375
115,115,2019-07-12,3013.77001953125
116,116,2019-07-15,3014.300048828125
117,117,2019-07-16,3004.0400390625
118,118,2019-07-17,2984.419921875
119,119,2019-07-18,2995.110107421875
120,120,2019-07-19,2976.610107421875
121,121,2019-07-22,2985.030029296875
122,122,2019-07-23,3005.469970703125
123,123,2019-07-24,3019.56005859375
124,124,2019-07-25,3003.669921875
125,125,2019-07-26,3025.860107421875
126,126,2019-07-29,3020.969970703125
127,127,2019-07-30,3013.179931640625
128,128,2019-07-31,2980.3798828125
129,129,2019-08-01,2953.56005859375
130,130,2019-08-02,2932.050048828125
131,131,2019-08-05,2844.739990234375
132,132,2019-08-06,2881.77001953125
133,133,2019-08-07,2883.97998046875
134,134,2019-08-08,2938.090087890625
135,135,2019-08-09,2918.64990234375
136,136,2019-08-12,2882.699951171875
137,137,2019-08-13,2926.320068359375
